crime_description,crime_description.1,gravity,probability_to_happen_to_tourist
ARSON,2366,1,0.5
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1016,1,0.5
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48999,1,0.5
ATTEMPTED ROBBERY,4445,1,0.5
BATTERY - SIMPLE ASSAULT,68145,1,0.5
BATTERY ON A FIREFIGHTER,230,1,0.5
BATTERY POLICE (SIMPLE),2336,1,0.5
BATTERY WITH SEXUAL CONTACT,3779,1,0.5
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",10,1,0.5
BIGAMY,7,1,0.5
BIKE - ATTEMPTED STOLEN,6,1,0.5
BIKE - STOLEN,7114,1,0.5
BLOCKING DOOR INDUCTION CENTER,6,1,0.5
BOAT - STOLEN,120,1,0.5
BOMB SCARE,397,1,0.5
BRANDISH WEAPON,13300,1,0.5
BRIBERY,7,1,0.5
"BUNCO, ATTEMPT",291,1,0.5
"BUNCO, GRAND THEFT",5508,1,0.5
"BUNCO, PETTY THEFT",1866,1,0.5
BURGLARY,52057,1,0.5
BURGLARY FROM VEHICLE,52743,1,0.5
"BURGLARY FROM VEHICLE, ATTEMPTED",627,1,0.5
"BURGLARY, ATTEMPTED",3586,1,0.5
CHILD ABANDONMENT,23,1,0.5
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,563,1,0.5
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,3176,1,0.5
CHILD ANNOYING (17YRS & UNDER),934,1,0.5
CHILD NEGLECT (SEE 300 W.I.C.),1065,1,0.5
CHILD PORNOGRAPHY,233,1,0.5
CHILD STEALING,403,1,0.5
CONSPIRACY,20,1,0.5
CONTEMPT OF COURT,2510,1,0.5
CONTRIBUTING,39,1,0.5
COUNTERFEIT,112,1,0.5
"CREDIT CARDS, FRAUD USE ($950 & UNDER",87,1,0.5
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",103,1,0.5
CRIMINAL HOMICIDE,1452,1,0.5
CRIMINAL THREATS - NO WEAPON DISPLAYED,17686,1,0.5
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1583,1,0.5
CRUELTY TO ANIMALS,240,1,0.5
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",294,1,0.5
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",66,1,0.5
DISCHARGE FIREARMS/SHOTS FIRED,2476,1,0.5
DISHONEST EMPLOYEE - GRAND THEFT,34,1,0.5
DISHONEST EMPLOYEE - PETTY THEFT,21,1,0.5
DISHONEST EMPLOYEE ATTEMPTED THEFT,2,1,0.5
DISRUPT SCHOOL,12,1,0.5
DISTURBING THE PEACE,1384,1,0.5
DOCUMENT FORGERY / STOLEN FELONY,2951,1,0.5
DOCUMENT WORTHLESS ($200 & UNDER),26,1,0.5
DOCUMENT WORTHLESS ($200.01 & OVER),66,1,0.5
DRIVING WITHOUT OWNER CONSENT (DWOC),153,1,0.5
"DRUGS, TO A MINOR",10,1,0.5
DRUNK ROLL,29,1,0.5
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",3386,1,0.5
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",125,1,0.5
EXTORTION,1833,1,0.5
FAILURE TO DISPERSE,3,1,0.5
FAILURE TO YIELD,1355,1,0.5
FALSE IMPRISONMENT,317,1,0.5
FALSE POLICE REPORT,148,1,0.5
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),5,1,0.5
FIREARMS RESTRAINING ORDER (FIREARMS RO),4,1,0.5
GRAND THEFT / AUTO REPAIR,5,1,0.5
GRAND THEFT / INSURANCE FRAUD,8,1,0.5
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,396,1,0.5
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,100,1,0.5
ILLEGAL DUMPING,91,1,0.5
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),5,1,0.5
INCITING A RIOT,2,1,0.5
INDECENT EXPOSURE,1087,1,0.5
INTIMATE PARTNER - AGGRAVATED ASSAULT,11626,1,0.5
INTIMATE PARTNER - SIMPLE ASSAULT,42781,1,0.5
KIDNAPPING,722,1,0.5
KIDNAPPING - GRAND ATTEMPT,219,1,0.5
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",7091,1,0.5
