crime_description,crime_description
ARSON,2366
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1016
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48999
ATTEMPTED ROBBERY,4445
BATTERY - SIMPLE ASSAULT,68145
BATTERY ON A FIREFIGHTER,230
BATTERY POLICE (SIMPLE),2336
BATTERY WITH SEXUAL CONTACT,3779
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",10
BIGAMY,7
BIKE - ATTEMPTED STOLEN,6
BIKE - STOLEN,7114
BLOCKING DOOR INDUCTION CENTER,6
BOAT - STOLEN,120
BOMB SCARE,397
BRANDISH WEAPON,13300
BRIBERY,7
"BUNCO, ATTEMPT",291
"BUNCO, GRAND THEFT",5508
"BUNCO, PETTY THEFT",1866
BURGLARY,52057
BURGLARY FROM VEHICLE,52743
"BURGLARY FROM VEHICLE, ATTEMPTED",627
"BURGLARY, ATTEMPTED",3586
CHILD ABANDONMENT,23
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,563
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,3176
CHILD ANNOYING (17YRS & UNDER),934
CHILD NEGLECT (SEE 300 W.I.C.),1065
CHILD PORNOGRAPHY,233
CHILD STEALING,403
CONSPIRACY,20
CONTEMPT OF COURT,2510
CONTRIBUTING,39
COUNTERFEIT,112
"CREDIT CARDS, FRAUD USE ($950 & UNDER",87
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",103
CRIMINAL HOMICIDE,1452
CRIMINAL THREATS - NO WEAPON DISPLAYED,17686
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1583
CRUELTY TO ANIMALS,240
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",294
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",66
DISCHARGE FIREARMS/SHOTS FIRED,2476
DISHONEST EMPLOYEE - GRAND THEFT,34
DISHONEST EMPLOYEE - PETTY THEFT,21
DISHONEST EMPLOYEE ATTEMPTED THEFT,2
DISRUPT SCHOOL,12
DISTURBING THE PEACE,1384
DOCUMENT FORGERY / STOLEN FELONY,2951
DOCUMENT WORTHLESS ($200 & UNDER),26
DOCUMENT WORTHLESS ($200.01 & OVER),66
DRIVING WITHOUT OWNER CONSENT (DWOC),153
"DRUGS, TO A MINOR",10
DRUNK ROLL,29
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",3386
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",125
EXTORTION,1833
FAILURE TO DISPERSE,3
FAILURE TO YIELD,1355
FALSE IMPRISONMENT,317
FALSE POLICE REPORT,148
